q_id,query
1080,"Я пополнил баланс на 00000, эти деньги банк заморозил, 00000 у меня сняли за просроченный кредит, а где остальные деньги?"
1081,"Если изменить кредитный лимит на кредитной карте, уменьшиться ли процент задолженности?"
1082,Apay
1083,Когда я получила карту?
1084,Не вижу графика платежей
1085,В прошлом месяце эти платежи за коммунальные услуги проходили. Сейчас что изменилось?
1086,Как подключить карту к Альфа пей
1087,Добрый день. Подскажите какой у меня код для без контактной оплаты для банкомата?
1088,Могу ли я предъявить паспорт с госуслуг для получения карты стикера?
1089,Если запрашивала график платежей?кредит уже оформлен?
1090,"Здравствуйте, подскажите пожалуйста, кредитная карта будет доступна только после получения?"
1091,Нпф альфа
1092,"Здравствуйте какие есть условия погашения ?  Подготовили индивидуальные условия по погашению просроченной задолженности! Подробности по телефону 00000000000 АО ""Альфа-Банк""."
1093,Информация по кредиту
1094,Завизировать платеж
1095,"Если пользуюсь услугой пропустить платеж, то в следующем месяце сумма минимального внесения  платежа по кредитной карте удвоиться?"
1096,Вечер добрый сегодня положил деньги на карту оно не работало в приложении сейчас отсканировал опять карту и стал баланс 0 руб а те деньги 0000 рублей пропали
1097,Не ответили на вопрос Можно ли сразу пользоваться картой после оформления?
1098,Карта Priority Pass
1099,"Покупка сегодня на 000000 тр через Альфа пей, почему кэшбэк всего 0000 тр?"
1100,"Здравствуйте, на карте нет фи а для оплаты их требуют, что ввести?"
1101,под какой процент кредитная карта
1102,"Добрый день. Подскажите, как узнать код авторизации операции по карте?"
1103,"Здравствуйте! По моей ссылке, физлица оформляли дебетовые карты Альфа-банка. Последние 0 клиента отказались от открытия счетов в банке из-за невозможности подключить пин-код ни в присутствии сотрудника при получении, ни в офисе банка"
1104,Рекомендация счёт для инвестиций
1105,Здравствуйте когда приедет 0000 рублей
1106,Неверный пин карта заблокирована. Как разблокировать?
1107,Есть ли у меня карта
1108,Хочу снять ограничения по статье фз 00
1109,А моя то где?
1110,Смена кода
1111,Pincode
1112,Где включить оплата по умолчанию
1113,Уже оформила
1114,Не могу найти пай
1115,Список карт
1116,"Здравствуйте, пишу вам по доставке карты  Можно ли забрать в отделении?"
1117,Можно ли получить карту по другому адресу и времени?
1118,Можно ли настроить автопополнение накопительного счета?
1119,Установить пароль
1120,Есть ли у меня карта дебетовая
1121,"В alfa pay пишет, что не карты ""мир"", какая у меня тогда карта, если в приложении она обозначена как карта ""мир""?"
1122,Что за письмо о штрафе мне пришло. У меня нет авто
1123,Не совсем понял принцип действия копилки. Я просто кладу туда свои деньги и все? Ни % ни бонусов от банка не будет?
1124,Добрый день! Помогите пожалуйста разобраться с крестами на счету я не понимаю это одно и тоже или разное
1125,"Здравствуйте, почему изменилась ставка 00.00%, выбрала ваш банк из за ставки 00%"
1126,Настроить
1127,Как получить пластиковую карту?
1128,Дебетова карта
1129,Я не могу у становить сточки 
1130,Мне не нужно забрать новый пластик
1131,"Как это правильно понять?) Если я активирую 0-0 июНя, то будет действовать до конца июЛя?)"
1132,Что с моим кредитом?
1133,"Оплатил ЖКУ, но задание в разделе кэшбэк не выполнено. Почему?"
1134,"Платеж альфа займ списали вчера, но в графике платежей он не отобразился. Почему?"
1135,"Здравствуйте, как создать сбор"
1136,Как скачать альфу на айфоне 
1137,"Добрый день! Можно ли погасить счёт кредитной карты ? Мои документы будут готовы только XXXXX июня, и я не успею их забрать и погасить долг  Можете разрешить данную операцию, чтобы не было просрочки по процентам"
1138,"Я ее заказала ,курьер будет 00.00 ,а в отделении банка ее можно получить???"
1139,Инвестиций
1140,Управление картой
1141,моя карта виза до двадцать восьмого года вообще перестала функционировать никакого считывания терминал не производит
1142,"Уменьшение процентов по кредиту , после закрытия кредитной карты в другом банке"
1143,"Добрый день! Подскажите, выбрала кэшбэк на июнь 0% через Alfa Pay. Оплачиваю через это приложение, а кэшбэк не приходит. В чем причина?"
1144,"Добрый день. Прошу объяснить почему   при оплате ремонта на СТО банк определяет как категория АЗС, при покупке АКБ к автомобилю в специалир магазине опять категория АЗС, по"
1145,Дата выдачи
1146,Такси я не выбирала. Оно автоматически стояло.
1147,"Скснировать штрих код, надо при каждой покупке ?"
1148,Меня интересует сроки которые не являются просрочкой?
1149,"Банкомат запрашивает пин код и после ввода писал, что ошибка"
1150,чтоб там не было графики 
1151,Альфа а
1152,Где нажать эту кнопку? Как активировать за июнь.
1153,Но после оплаты я же смогу пользоваться счётом?
1154,Адрес почты
1155,Завтра будет можно будет к вам подойти в офис?
1156,"Добрый день, у меня есть действующий кредит в вашем банке. Сейчас открыла график платежей и увидела что первые 00 платеж по кредиту уходят в погашение только процентов, почему первые платежи не гасят часть основного долга?"
1157,У меня сейчас есть пропуски или штрафы или повышенный процент по кредитной карте?
1158,Не могу найти диалог со знаком колокольчика
1159,"Можно ли установить сумму лимита, после которой спрашивают пин код? Сейчас я вижу, много операций, где пинкод не требуется"
1160,Поменять пароль
1161,Что с кредитной картой когда придет
1162,Вот как удалить старый
1163,Добрый день. По фото паспорта карту отдадут?
1164,Можно ли пользоваться кредитной картой онлайн до ее получения ?
1165,"Её сли я потрачу 00000 с кредитки сегодня, как когда надо вернуть без %"
1166,Здравствуйте сколько у вас на ипотеку ставка
1167,"Какой штраф, я же закинул?!?!?"
1168,"Я хотела бы узнать как снизить процентную ставку по кредитной карте.  Я плачу каждый месяц без задержек,но не могу накопить деньки на карту  Всё уходит на проценты."
1169,"Здравствуйте, почему Я оплатила кредит в банк в 00.00.0000  А до сих пор едет процент?!"
1170,Отключить автосписание
1171,"Здравствуйте,проверьте пожалуйста,оплатила все просрочки,но карты в вашем банке заблокированы"
1172,У меня заблокировали пин
1173,Можно ли получить моментальную карту?
1174,Здравствуйте.как отключить покупки онлайн
1175,"Здравствуйте,хотела бы узнать,могу ли я вносить сумму по кредиту больше положенного и тем самым сократить процент и сроки?"
1176,Готово
1177,Как его создать 
1178,Изменить пароль
1179,"Добрый день подскажите пожалуйста,не понятно,чтобы получить ставку 00℅ что надо сделать"
1180,Когда мне её отдадут?
1181,Здравствуйте. Подскажите пожалуйста через какое время снизят ставку на 0 %
1182,Начисляется ли повышный кэшбэк при оплате q  кодом
1183,Тарифы на инвестиционный счёт
1184,авто поплонение
1185,Где находятся эти настройки
1186,как пользоваться кредиткой
1187,что будет если во время не заплатить ?
1188,Я бы хотел попросить компенсацию
1189,А какие еще могут быть неоплаченные комиссии?
1190,Добрый день! В течение какого времени засчитается задание по дополнительному кэшбеку за ЖКУ?
1191,здравствуйте могу я пользоваться кредитной картой до её получения?
1192,Как узнать сколько карт было
1193,Держатель карты
1194,Прошу вас вернуть указанную сумму которую сняли  за просрочку чтоб я мог закрыть
1195,"Да, я постараюсь по этой акции "
1196,"Хорошо, спасибо. А у меня все условия подходят для участия в акции?"
1197,Сколько ждать новую карту по замене?
1198,Здравствуйте! Почему карта до сих пор в блоке ?
1199,"Здравствуйте, чтобы начать пользоваться кредиткой, надо  сходить в отделение, по alpha pay нельзя?"
1200,код от карты
1201,Сегодня её только оформил
1202,"Добрый день, забыл пароль, не могу снять деньги с банкомата"
1203,Здравствуйте! Вчера я заказала карту должна сегодня получить с 00-00 обязательно смски я плохо слышу не могу говорить по телефону 🙏
1204,Здравствуйте. Как изменить пин код? Я не помню его
1205,А как мне решить проблему с этим ограничением?
1206,"Добрый вечер! В соотвествии с графиком платежей по кредиту, хочу задать вопрос не нарушает ли Альфа банк законодательство, планируя на протяжении трех лет зачислять платежи только в счет процентов?"
1207,"Добрый день! В связи со снижением ЦБ РФ ключевой ставки с 00 до 00% прошу перевести перерасчёт по кредитному договору 00000000000  Дата выдачи кредита 00 апреля 0000 года  Текущая процентная ставка 00,00%"
1208,0 числа была списана сумма 00000 а по графику платежей 00000
1209,"А как-то заранее можно сделать заявку, чтоб она приехала в город и в отделении сразу получила карту?"
1210,Она поступила уже
1211,Установить код на операции по карте
1212,Где я могу получить карту?
1213,Как оформить автоплатеж без подтверждения
1214,какие обязательства сейчас на мне
1215,"хватает ли денег для списания платежа по займу ? вы спишете сами, или опять сделаете просрочку мне?"
1216,Здравствуйте!закрыла кредит в другом банке У меня должна уменьшится процентная ставка.креди́т от 00.00.0000
1217,"Приостановили платежи в приложении и Альфа-Онлайн, ещё не получится снять наличные. Расскажем, как снять ограничения: alfa.me/XXXXX"
1218,Какая карта у меня актуально для акции
1219,Добрый день! Как распечатать пунк по истории платеже?
1220,"Ранее у меня было приложение alfa pay, сейчас оно недоступно для скачивания, либо я не могу его найти, подскажите, пожалуйста,  каким приложением я могу пользоваться на телефоне для оплаты покупок?"
1221,"Кажется, я забыл свой пароль, хотя записал его. Записанный вариант не подходит."
1222,"Здравствуйте, у меня есть какие то действующие карты или счета?"
1223,как сменить пин код в приложение 
1224,"Я их вставлял в банкомат, для запроса баланса с целью активации пин-кода. В обоих случаях банкомат выдавал: Ваша карта не читается."
1225,Пинкод
1226,Начисляется ли кэш бек при оплате qr кодом ?
1227,"Здравствуйте. У меня весит займ на 00000,но документы не подписаны и деньги не получены, а грыфик платежей есть. Что мне делать"
1228,какой у меня % годовых по кредитной карте? 
1229,Как установить иконку на телефон 
1230,не могу настроить akey
1231,Иконку на экран смартфона
1232,Откуда такая задолжность?
1233,Когда придут деньги с предложения о карте
1234,"Забыла пинкод у карты. Пришла в отделение, мне отказываются в кассе с моего же счета выдать деньги без комиссии"
1235,Моя карта мир ли нет ?
1236,Пин код 
1237,"я заказал карту по ссылке , мне сказали 000 рублей банк вам даст"
1238,Вы поднимаете оплату по кредиткам
1239,добрый день ! Хочу продать паи - арендный поток но пока не получается
1240,"При открытии альфа пэй выходит предложение отключить контроль активности, как это сделать?"
1241,Снижение % 
1242,"Карты уже заказаны и активированы, но их так и не привезли"
1243,Какая карта пластиковая
1244,"Добрый день Не можем активировать карту детскую, у ребенка в приложении написано нет активных продуктов"
1245,"Здравствуйте! Просрочила платеж, сегодня внесла,а он не отображается в личном кабинете?"
1246,здравствуйте подскажите почему я через банкомат альфа не могу снять деньги пишет неправильно пин код а через другие банки ввожу тот же самый пин код и все нормально все снимается 
1247,Могу ли я получить на карту
1248,Активировать
1249,Как забрать карту ?
1250,пин
1251,Когда доставят детскую карту.
1252,"За то что я подключила карту мне выплатят XXXXX, условия выполнены?"
1253,"Здравствуйте, как отключить услуга «благотворительность»"
1254,Я заказывал
1255,"На дебетовую карту, через которую оплачиваю кредит повесили запрет.  Деньги на кредит не спишутся теперь автоматически?"
1256,"Если пришло сообщение о том что кредитную карту можно забрать , это значит одобрили ?"
1257,Можно ли пользоваться до получения ?
1258,Здравствуйте! Действует в онлайн покупках?
1259,Отключить автопополнение брокерского счета
1260,"Добрый день,подскажите пожлста,будет ли действительна моя кредитная карта?"
1261,Нет я новую карту зпкащвла
1262,"Оформляю ипотеку, необходимо снизить кредитную нагрузку"
1263,Я подавала заявку на перевыпуск карты. Когда она будет готова?  Уже срок
1264,Снять ограничения
1265,Альфа платежи
1266,Как отключить авто списания с карты
1267,Как установить пин-код на карту для снятия крупных сумм в банкомате?
1268,Почему я получила карту а мне до сих пор пишут получите пластиковую карту потом будет все доступно 
1269,Пожалуйста зафиксируйте о том что меня уведомили 
1270,не удается установить код для активации карты - приходит смс подтверждение 
1271,Есть на меня оформленные карты
1272,"Какие нужны документы, чтоб уменьшить кредит на 0%"
1273,"Мы готовы, а Вы?"
1274,Я могу начать пользоваться картой через приложение уже сегодня?
1275,"указанный второй номер тоже не отвечает, как активировать специальное предложение???"
1276,как мне узнать на каких магазинах привязан карта
1277,Приходится кликать 00 раз на одну команду 
1278,"Здравствуйте! Подскажите, как сменить пароль при входе  в банкомат?"
1279,Добрый ночи! Извините как можно автоматически платёж закрыть
1280,Как подключить автопополнение брокерского для получения приза
1281,Где забрать карту?
1282,Кэшбек pay ?
1283,"Добрый день! Подскажите какой процент по кредиту? Если я беру 0000000, то по графику выплачу 0000000?"
1284,Как отключить ежемесечную плату по карте ?
1285,"Добрый вечер, уже начала работать"
1286,"Здравствуйте. А можно ли пользоваться кредитной картой, до того как привезут пластик?"
1287,На сколько месяцев уменьшился мой кредит?
1288,"Здравствуйте, если у меня просрочки по платежам на кридитной карте, при этом я погашу её полностью, смогу ли я ей пользоваться в дальнейшем, и не изменится ли лимит по карте?"
1289,Пин код на покупку 
1290,Карта при мне
1291,Я оплатила платеж 0 июня займ альфа-финанс.почему он не отмечен в графике
1292,"Да, произвела по реквизитам, как за услугу. а как надо было оплатить, чтобы он начислился?"
1293,"Добрый день, просьба начислить за реконструкцию по карте"
1294,Когда снизятся ставки на кредит на разные цели
1295,готов
1296,"Я только подал заявку на кредитную карту , мне одобрили, встречи с сотрудником банка еще не было , но карта же должна появится в списке ?"
1297,Когда изменится процент по ипотеке ?
1298,В офисе ее тоже надо заказать и придти забрать?
1299,Почему написано просроченный платёж если платёж был списан вовремя
1300,"Добрый день! Надо ли заранее оформить детскую карту, если хочешь забрать из офиса?"
1301,Что бы получить карту надо стоять в очереди?
1302,Когда прменяют график по кредиту
1303,В кокое число принисут карту
1304,Если не заплатить вовремя за коедитк
1305,Как получить пластиковую карту
1306,С 00.00 уменьшились процентные ставки по кредитам.Возможно переоформить кредит?
1307,Создать ссылку на платеж
1308,Какой пин код при в ходе 
1309,Не приходит код для активации карты
1310,"Уточните, я заказала карту?"
1311,"Здравствуйте, когда я смогу начать пользоваться банком?"
1312,"Здравствуйте, как установить пинкод на дебетовую карту, при оплате ею физически"
1313,У меня оформлена кредитная карта?
1314,Сколько процентов у меня уже выплачено по ипотеке?
1315,По кредитке сколько %
1316,Как отключить автопополнение брокерского счета
1317,я хочу сама забрать если они готовы
1318,У меня задвоился платёж по кредиту
1319,Проценты по кредитной карте
1320,"Здравствуйте, подскажите я не могу перевести со своей налоговой копилки деньги на свой счёт?"
1321,мне сейчас сотрудник альфастрахования утверждает что вы некомпетентны и ставка может повыситься и если она повысится это будет на моей ответственности
1322,Как убрать лимит с детской карты?
1323,"Добрый вечер, я хочу узнать по кредиту какая минимальная ставка для меня?!"
1324,Кольцо для оплаты 
1325,Я когда получил мне сказали пожизненно бесплатно эта карта
1326,Кнопка Начать не активна !
1327,Как начисляются проценты по кредиту
1328,Как забрать XXXXX
1329,"Я этот комбо-счёт не активировал! Более того, при оформлении карты мне его отключили. Каким же образом он оказался активирован?"
1330,"У меня заказана карта, посмотрите, пожалуйста. Именная"
1331,То есть по идеи сегодня уже могут быть готовы документы 
1332,Добрый день забыла код от банка
1333,"Можно ли получить карту по приложению гос услуги, без паспорта?"
1334,Как мне получить ставку 00%?
1335,А моя карта дебетовая?
1336,"Доброе утро! Оценка критерия техника -0 баллов, хотела бы видеть в следующих месяцах, очень давно не давали!"
1337,Здравствуйте. Активирована ли у меня скидка ?
1338,Какой процент на кредит
1339,"Текущего пароля нет, а для смены его запрашивает"
1340,Где забрать карту 
1341,Жду карту и где📍❓
1342,Надо или нет получать карту?
1343,Как подключить 000 дней оплаты по кредитке?
1344,Я вроде детскую карту заказывал
1345,"Здравствуйте, за оформление альфа карты на сколько мне известно должны были начислить 0000 рублей ( совершеннолетним лицам ) но мне до сих пор еще ничего не пришло"
1346,Я не оформляли карту
1347,Как повысить статус дебетовой карты
1348,Мне нужно восстановить доступ к кредитной карте. Как это сделать? 
1349,"Добрый день. Человек заказал карту через мою ссылку. Но у меня не отображается, почему? У этого человека была давно карта альфа, но она заблокирована уже давно года 0 назад. А новая не активирована"
1350,"Я подвал заявку на дебетовую карту, но не смог ее получить - надолго уехал в командировка. Вопрос: та дебетовая карта еще действительна, ее можно получить, или она уже давно аннулирована ?"
1351,"Моя ставка почему то поменялась, хочу понимать почему?"
1352,Какие возможные  причины блокировки кода карты ?
1353,Добрый день. Прошу вернуть  меня в график по персональному кредиту XXXXX. Оплату просроченной задолженности гарантирую на этой неделе.
1354,Я перевыпуск заказал карты
1355,Ссылка не активна
1356,У меня уменьшили кредит
1357,Можно заменить трехзначный код карты?
1358,Когда в приложении можно будет увидеть мою кредитную карту?
1359,Где отключить автопополнение брокерского счета?
1360,Закон с 00.00 контроль за переводами есть?
1361,"Добрый день, я бы хотела получить карту в офисе банка, а не по указанному адресу в заявке"
1362,"Здравствуйте,до сих пор нет денег за оформление карты"
1363,Срок получения неименной карты
1364,Как включить alfaonly
1365,Как удалить раздел «К оплате»?
1366,"Странно, она уже вроде карту получила"
1367,Какой банк мне её оформил
1368,"По вашей вине я ппосрочила и не смогла положить деньги на кредитку, +00000 штраф"
1369,Где смотреть погашение кредита
1370,Карты
1371,В коком месяце я взяла карту?
1372,"Истёк срок штрих кода на карте, что делать, неожиданная информация в других банках нет истекание сроков, почему не было предупреждения ❓"
1373,Почему кредитная карта с процентами?
1374,Не помню какую заказывала
1375,"Я заказала карту одну,а мне ответа пришло на две карты"
1376,"Здравствуйте,как закрыть авто накопления?"
1377,"Есть карта, как подключить?"
1378,Какой у меня код карты 
1379,Я то сама его не активировала ранее
1380,Подскажите пожалуйста я могу приобрести билеты авиа онлайн по кредитной карте оплатить их?
1381,"Добрый день, взял у вас кредит на погашение другого, в договоре указано о необходимости предоставления справки полного погашения предыдущего для снижения процентной ставки"
1382,Здравствуйте сегодня получила карта
1383,Почему задерживают мою карту?
1384,почему в категории прочие расходы а не коммунальные услуги
1385,Аапельсиновая карта является альфа картой?
1386,Я в отделении
1387,Она выбрана автоматически?
1388,"Хорошо, а как мне убедится что оно активировано? В приложим до сих пор весит предложение с кнопкой «активировать предложение», где в течении 00 дней мне предлагают внести эту сумму"
1389,что значит именная карта?
1390,прошу снять ограничения альфа-онлайн в связи с отсутствием причин
1391,Не помню пин код на карте 
1392,Я только начал пользоваться картой
1393,Мне прислали СМС с подарком. А я не могу. Его забрать
1394,"Я пошёл в банк, и мне сказали прийти через 0 дня."
1395,Награждение за отзыв
1396,"Сегодня 00 июня, смс не приходило"
1397,Код для активации на телефон не приходит
1398,Подожди. Хотя нет. Почему у меня пеня пришла?? Я же успел оплатить кредит
1399,Я забыла пароль от банка 
1400,Это вообще не моя карта
1401,"Добрый день! В приложении высвечивается штраф ГИБДД, который не принадлежит мне. Я не являюсь владельцем автомобиля и никогда не была в городе Альтемьевск. Прошу убрать штраф из моего личного кабинета, спасибо "
1402,как узнать кодовое слово от карты
1403,Отключить покупки в интернете 
1404,"Можете уточнить, номер запрашиваемого договора и на какой эл.адрес будет отправлен?"
1405,У меня закончился 
1406,Мне одобрили карту как ее получить
1407,я поставил 0/0
1408,Добрый день хотел узнать информацию по кредиту 000 т от 0 июня 0000 г  сроком на 00 месяцев .Почему в графике стоит 00 месяца  .С чем связанны такие изменения
1409,Где я могу забрать карту ?
1410,Какие счета у меня активны
1411,Не помню код банкамат
1412,"Льготный период 000 дней так? О,0% за просрочку в день ?0000,00  как рассчитывалась?"
1413,Как изменить код при использовании в банкоматах в личном кабинете?
1414,Я не понял как мне активировать карту после смены пинкода
1415,Почему не работает пинкод?
1416,"Если воспользоваться услугой пропуск платежа, проценты будут начисляться?"
1417,Как узнать оформлена ли кредитная карта?
1418,"Здравствуйте, В связи с необходимостью вывести средства (в течение буквально 0-0 дней), подскажите на июнь Альфа-онли будет ещё действовать без оплаты? Я правильно понимаю, что с июля для меня программа будет платной?"
1419,какой у меня процент по кредитке?
1420,В каком году была оформлена карта альфа банк ?
1421,Как вынести иконку банкана экран телефона ?
1422,Как бы тро выдадут карту
1423,"Добрый день,хотел пароль поменять"
1424,"Добавьте этот комментарий, пожалуйста"
1425,Не активна надпись заменить
1426,"Подскажите еще, во время перевыпуска карты пока еще не будет карты на руках я смогу видеть в личном кабинете деньги и делать переводы с этого счета? Или пока не будет карты на руках я не смогу воспользоваться своими средствами?"
1427,Какая у меня карта
1428,Какая карта рабочая?
1429,Привет кредита без процентов у менч до 00 июля;!?
1430,Есть ли активные карты
1431,"В графике платежей сумма 0000 оплатить до 00.00 00, смс оповещения пишет другую сумму 0000 это как понимать?"
1432,когда будет готова карта ?
1433,Могу ли я пользоваться картой до получения?
1434,УИН
1435,Добрый день! Не отображается детская карта
1436,Что такое Alfa id
1437,Что будет если я пополню кредитную карту сверх лимита и оплачу ей?
1438,Сколько ждать именную карту ?
1439,Это дебетовая карта там нет никаких просрочек
1440,Подскажите есть ли у меня действующая кредитная карта в вашем банке?
1441,Как узнать какая у меня ипотека
1442,"Привет, я заплатил около 000 за свой рекомендательный Wi-Fi через Альфа, и каждый раз он показывает, что осталась какая-то сумма, пожалуйста, скажите мне, в чем проблема?"
1443,Есть ли на мое имя кредитная карта в вашем банке?
1444,"Я плачу Альфа Пэй, но ничего не начисления."
1445,"Здравствуйте.  Оплатила большую часть кредита,деньги списались а график  не изменился"
1446,"здравствуйте, а карта до сих пор у вас в отделении?"
1447,Да где разрешить?
1448,как начать пользоваться кредитеой картой
1449,"Здравствуйте, мне кредитную карту уже не ращблркируют? Пользоваться ей не смогу?"
1450,"Как можно настроить авто перевод с счета на счёт на определенный процент, после каждого получения ЗП?"
1451,Платёж пропустила почему списали
1452,Что значит только при покупке онлайн?
1453,Вы уверены что мне отдадут?
1454,"Попробую по реквизитам, сегодня не получится, но если по реквизитам все пройдёт то на будущей неделе просрочку закрою скорее всего в четверг."
1455,По кредитной карте какой процент в день?
1456,Спасибо большое. Дайте форму опроса обслуживания хочу сотруднику что помог это сделать без звонков  поставить все 00
1457,"Вчера при получении карты установили приложение, но оно не открывается "
1458,Апел ьсиновую карту мне не надо
1459,Виртуальный портфель выбирал. Это был со средним процентом доходности.
1460,Где можно забрать карту?
1461,"Добрый день! Подскажите, почему даты платежей в разные месяцы разные? "
1462,Куда пропала моя новая карта ?
1463,"Здравствуйте, я заказывал дебетовую карту ,  Вопрос , а она закреплена будет к действующему счету ?  Возможно ли ее ограничивать балансом ?"
1464,Если будет основная карта
1465,"Здравствуйте, если я рекомендовал карту дебетовую, другу на какую сумму надо покупок совершить, чтобы было принято участие в акции"
1466,"Я хочу перевести деньги самому себе обратно, но теперь поставлен лимит "
1467,Какой у меня процент по кредитке в месяц?
1468,Так где кэшбек за оплату моб связи
1469,"Подскажите пожалуйста, в задании - 0% кэшбэка за оплату коммунальных услуг, он начисляется только за свет и воду или целиком за всю  итоговую сумму в квитанции?"
1470,"Здравствуйте, после оформления кредита на любые цели, можно отказаться от услуги защита здоровья и как изменится кредит?"
1471,я заказывал крҽдитную карту
1472,"Добрый день! Я оформила карту, и входила в личный кабинет по номеру телефона и номеру карты. Сейчас хочу завести пароль. Но на странице смены пароля просят ввести старый пароль, а у меня нет старого пароля."
1473,"Очень хорошо. Я читала в условиях, что если я погашу свой долг в Сбере в течении 0 месяцев, то снизится процентная ставка по моему кредиту"
1474,Я уже получил пластмассу
1475,"У меня не было раньше карты, я ее оформляла пару лет назад но так и не забрала"
1476,"Она приедет 0 июня,"
1477,"Здравствуйте, еще хочу уточнить это обычная карта или кредитная?"
1478,"Добрый день, заказывал новую карту, хочу узнать она уже в отделении? Или еще ждать?"
1479,Скажите какой у меня  код при снятии денег
1480,Хочу получить карту 
1481,Здравствуйте когда придут деньги за то что через меня сделали карту
1482,Где посмотреть когда она будет готова?
1483,Когда мне придет 0000?
1484,Когда блокируется карта при неверном вводе пинкода
1485,До какого времени можно положить деньги на счёт в день списания кредита чтобы не возникла просрочка 
1486,"Обновите ставку на все продукты до 0,0%"
1487,Почему у меня процент по кредитной карте 00 тыс????
1488,"Здравствуйте, подскажите как отключить платежи по коммунальным услугам?"
